leader,control_number,control_number_identifier,last_transaction,fixed_fields,lccn,isbn,system_control_numbers,cataloging_source,authentication_code,loc_classification,author,title,statement_of_responsibility,publication_place,publisher,publication_date,extent,other_physical_details,dimensions,series,bibliography_note,contents,citations,summary,target_audience,subjects,series_added_entry,electronic_location,library_location,barcode,call_number,cost,copy_number,holdings_extra,local_audience,local_grade_level,local_date,local_sources,local_vendor
01818pam a2200385 a 4500,2403,WSD,20130717224945.0,080116s2009    deuab  c b    001 0 eng  ,  2008002262,1584156406,(ICrlF)fol11922295; (ICrlF)01249X; (IlMchFSD)1372085580:1387,DLC; DLC; ICrlF,,HG221.5 .O77 2009,"Orr, Tamra.",Coins and other currency : a kid's guide to coin collecting /,Tamra Orr.,"Hockessin, Del",Mitchell Lane Publishers,2009,48 p.,"col. ill., col. maps",25 cm,Robbie reader. Money Matters,Includes bibliographical references (p. 46-47) and index.,A great gift from grandpa Joe -- From cows to coins -- From ducats to dollars -- From paper to printing presses -- From carrying to collecting -- Money around the world and in to the classroom -- Further Reading -- Books -- Web Sites for kids -- Works consulted -- On the Internet -- Glossary -- Index.,"Wilson's Children, July 2009.","Describes the world of finance, and covers earning, budgeting, saving, investing, and coin collecting; and includes the history and culture of currency from countries around the world.",5.2.; 3-6; 4-8; 796,Money.,Robbie reader.,,WMS,30290001435446,332.4 ORR,20.90USD,2,,5.2,3-6,10/27/10,,FLR
01826pam a2200445 a 4500,3536,WSD,20130717222757.0,060104s2007    nyuab  j b    001 0 eng  ,  2006000166,1404207414,(304)FA79746B533B48B8A07C29CFC214286C; (ICrlF)fol11051335; (ICrlF)10582S; (IlMchFSD)1372086117:14397,DLC; DLC; DLC,pcc,GB2597 .S66 2007,"Sommers, Michael A.,",Antarctic melting : the disappearing Antarctic ice cap /,Michael A. Sommers.,New York,Rosen Pub,2007,64 p.,"ill. (some col.), col. maps",25 cm,Extreme environmental threats,Includes bibliographical references (p. 60) and index.,"Terra Australis incognita -- Life on ""the ice"" -- Warming up -- Melting down.","School Library Journal, August 2007.",Examines the evidence concerning the reduction of ice on the Antarctic continent and the major effects on coastal cities due to rising sea levels.,8.9.; 5-8; 1175,Global warming.,Extreme environmental threats.,Table of contents only: http://www.loc.gov/catdir/toc/ecip066/2006000166.html,WMS,30290001424515,363.738 SOM,21.95USD,1,,8.9,5-8,06/17/08,,FLR
01674pam a2200409 a 4500,13086,WSD,20130717221752.0,080528s2009    nyua   c b    001 0 eng  ,  2008022263,1435850017,(102)E6B8C05893694AB685F06405077D5DCA; (ICrlF)fol12128718; (ICrlF)18880Z; (IlMchFSD)1372085580:6563,DNAL/DLC; DLC; ICrlF,pcc,QH541.5.F6 N35 2009,"Nagle, Jeanne.",Deciduous forests : seasons of survival /,Jeanne Nagle.,New York,Rosen Central,2009,48 p.,col. ill.,24 cm,Biomes of the world,Includes bibliographical references (p. [44]-[45]) and index.,Enter the deciduous forest -- The deciduous environment -- Forest plants and animals -- Threats to the deciduous forest -- The future of the forest.,,"An introduction to deciduous forests, discussing types of deciduous forests, their environment, plants, and animals, threats to the forests, and their future survival.",6.8.; 5-8,Forest ecology.; Forests and forestry.,Biomes of the world (Rosen Central),Table of contents onl: http://www.loc.gov/catdir/toc/ecip0819/2008022263.html,WMS,30290000717331,577.3 Nag,19.95USD,1,,6.8,5-8,01/22/10,,FLR
02024pam a2200493 a 4500,20222,WSD,20191001140855.0,110324s2012    mnuab  c b    001 0 eng  ,  2011010182,9781429665872,(ICrlF)0113ZR; (ICrlF)fol13638826,DLC; DLC; ICrlF,pcc,HV551.2 .R38 2012,"Raum, Elizabeth.",Can you survive storm chasing? : an interactive survival adventure /,by Elizabeth Raum.,"Mankato, Minn.",Capstone Press,[2012],112 p.,"col. ill., col. maps",20 cm,You choose. Survival,Includes bibliographical references and index.,Amazed by weather -- Tornado! -- Hurricane! -- Flood! -- Survival guide.,"School Library Journal, December 2011; Library Media Connection, May 2012; Library Media Connection,; School Library Journal,","Readers can choose how the story ends in different adventures about survival during tornadoes, hurricanes, and flash floods.",6.0.; 3-6; 4-8.; 620.; 620; 4-6.,Emergency management; Storms; Plot-your-own stories.,You choose.,View cover image from Davidson Titles: http://www.davidsontitles.com/bookcovers/9/7/8/1/4/2/9/6/7/3/4/7/1/9781429673471.jpg; View cover image provided by Mackin: http://www.mackin.com/BookPics/Book.aspx?isbn=9781429665872,WMS,30290000719154,613.69 Rau,22.99USD,1,,6.0,3-6,07/23/19,,FSS
01511pam a2200373 a 4500,26785,WSD,20130717223849.0,120315s2013    deuab  c b    001 0 eng  ,  2012009409,1612282806,(ICrlF)fol14228468; (ICrlF)0542JB; (IlMchFSD)1372086117:17062,DLC; DLC; ICrlF,pcc,DS425 .B295 2013,"Bankston, John,",Ancient India : Maurya Empire /,John Bankston.,"Hockessin, Del",Mitchell Lane,2013,48 p.,"col. ill., col. map",25 cm,Explore ancient worlds,Includes bibliographical references (p. 44-46) and index.,Civilization's cradle -- Sidebar : Indian seals -- Cataclysm -- Sidebar : Jainism and Buddhism -- Wordly affairs -- Sidebar : the Arthashastra -- Indika -- Sidebar : money -- Empire of peace -- Sidebar : Ashoka's ruins -- Ancient craft -- Ancient recipes.,,"Describes the Maurya Empire, discussing religion, foreign relations, money, and more. Includes a craft and recipes.",7.2.; 5-8,,Explore ancient worlds.,,WMS,30290001451716,934 BAN,21.50USD,1,,7.2,5-8,01/31/13,,FLR
02215pam a2200481 a 4500,27273,WSD,20130717225011.0,061018s2008    njuab  c b    001 0beng  ,  2006034681,076602847X,(105)DB3D0E29630B47918676B706D8420F17; (ICrlF)fol11349405; (ICrlF)22356U; (IlMchFSD)1372085580:20270,DLC; DLC; DLC,,ML3930.P29 W93 2008,"Wyckoff, Edwin Brit.",Electric guitar man : the genius of Les Paul /,Edwin Brit Wyckoff.,"Berkeley Heights, NJ",Enslow Elementary,2008,32 p.,"ill. (some col.), col. map",24 cm,Genius at work! Great inventor biographies,Includes bibliographical references (p. 31) and index.,"The bubbling, boiling harmonica -- Red hot red -- Night and day -- Sound-on-sound -- Monday night madness.","Wilson's Children, July 2009.; Horn Book, October 2008.","Examines the life and career of Les Paul, discussing his work as a performer, and looking at his contributions to music as an inventor of sound-on-sound tracks, and as the creator of signature guitars.",4.1.; 3-6; 713; 4-8; 4-8,Guitarists; Inventors,Genius at work!,Table of contents only: http://www.loc.gov/catdir/toc/ecip073/2006034681.html; Table of contents only: http://www.loc.gov/catdir/toc/ecip073/2006034681.html,WMS,30290003008126,921 PAU,22.60USD,1,,4.1,3-6,04/01/10,,FLR
02094pam a2200469 a 4500,32631,WSD,20130717224600.0,060817s2007    mnuab  j b    001 0beng  ,  2006027071,0756518881,(105)22B6C3B044504038B72AC2AB8B84DAFD; (ICrlF)fol11284572; (ICrlF)05246T; (IlMchFSD)1372085580:18891,DLC; DLC; DLC,lcac,HV569.B3 S64 2007,"Somervill, Barbara A.",Clara Barton : founder of the American Red Cross /,Barbara A. Somervill.,Minneapolis,Compass Point Books,2007,112 p.,"ill. (some col.), col. maps",24 cm,Signature lives,Includes bibliographical references and index.,"Blood flows at Antietam -- A young Clara Barton -- Early days in Washington -- The women who went to the field -- onto the battlefield -- A requiem from Andersonville -- Barton in Europe -- The scarlet cross floats -- Final days, final words.","Booklist, June 2007.","A brief biography of founder of the American Red Cross, Clara Barton, that chronicles her life, achievements, and persistence in providing proper care to the wounded soldiers of the Civil War.",6.9.; 5-8; 940; 4-8.; 940.,Nurses; Women,Signature lives.,Table of contents only: http://www.loc.gov/catdir/toc/ecip0619/2006027071.html,WMS,30290002301019,921 BAR,23.90USD,1,,6.9,5-8,04/18/08,,FLR
02015pam a2200445 a 4500,33216,WSD,20130717224600.0,041101s2005    mnuab  j b    001 0beng  ,  2004025341,0756508185,(105)D4EA294418C04DD6BF85248915D141F5; (ICrlF)fol09499450; (ICrlF)20854Q; (IlMchFSD)1372085580:19261,DLC; DLC; DLC,,E449.D75 H38 2005,"Haugen, Brenda.","Frederick Douglass : slave, writer, abolitionist /",by Brenda Haugen.,Minneapolis,Compass Point,2005,112 p.,"ill. (some col.), col. maps",24 cm,Signature lives,Includes bibliographical references and index.,Living with cruelty -- Growing up a slave -- Life at the great house farm -- An awakening in Baltimore -- Living with a slave breaker -- Freedom -- Frederick gets a new name -- Fighting for the Union cause -- Life after the war.,,"Contains a biography of Frederick Douglass, the former slave turned abolitionist and author of an antislavery newspaper, and includes information on Douglass, from his childhood, to his struggles as a slave, to his leading the first all-black volunteer army in the Civil War.",5.5.; 5-8; 930; 4-8,African American abolitionists; African Americans; Slaves; Antislavery movements.,Signature lives.,,WMS,30290002301035,921 DOU,23.90USD,1,,5.5,5-8,04/18/08,,FLR
02183pam a2200457 a 4500,33651,WSD,20130717224601.0,041026s2005    mnuab  j b    001 0beng  ,  2004025342,0756508207,(105)211120E2875849479F9AC88527B8556A; (ICrlF)fol09491918; (ICrlF)20771Q; (IlMchFSD)1372085580:19557,DLC; DLC; DLC,,E672 .H376 2005,"Haugen, Brenda.",Ulysses S. Grant : Union general and U.S. president /,by Brenda Haugen.,"Minneapolis, MN",Compass Point Books,2005,112 p.,"ill. (some col.), col. maps",24 cm,Signature lives,Includes bibliographical references and index.,"Finding his place in the world -- Growing up -- West Point -- Julia and the war with Mexico -- Struggling between wars -- The country divides -- Shiloh, Vicksburg, and Richmond --President Grant -- Grant's final years -- Life and times -- Ulysses S. Grant's life at a glance -- Understanding Ulysses S. Grant -- Glossary.",,"Examines the life of Ulysses S. Grant, discussing his youth, his talent as a military leader, his role as commander of the Union Army during the Civil War, and his service to the United States as president.",5.6.; 5-8; 1000; 4-8,Presidents; Generals,Signature lives.,Table of contents: http://www.loc.gov/catdir/toc/ecip052/2004025342.html,WMS,30290002301084,921 GRA,23.90USD,1,,5.6,5-8,04/18/08,,FLR
01932pam a2200445 a 4500,35755,WSD,20130717224600.0,050204s2006    mnuab  j b    001 0beng  ,  2005003255,0756509858,(wes)41DABC5F71FE4CDDB6B7F6290CDA5BB5; (ICrlF)fol09612517; (ICrlF)17983R; (IlMchFSD)1372085580:20758,DLC; DLC; DLC,,E608.V34 S36 2006,"Schoof, Heidi.",Elizabeth Van Lew : Civil War Spy /,by Heidi Schoof.,"Minneapolis, MN",Compass Point Books,2006,112 p.,"ill. (some col.), col. maps",24 cm,Signature lives,Includes bibliographical references and index.,Gravediggers -- Southern girl -- Set the slaves free -- Prison messenger -- Spy network -- The great escape -- The fall of Richmond -- Scorned -- Honored.,,"Presents a biography of Elizabeth Van Lew, a Union spy during the Civil War, providing soldiers with money, food, and books, and includes information on her childhood, her passion to fight slavery, and her achievements.",7.6.; 5-8.; 1050.; 4-8.,Spies; Women; Secret service,Signature lives.,Table of contents: http://www.loc.gov/catdir/toc/ecip058/2005003255.html,WMS,30290002301027,921 VAN,23.90USD,1,,7.6,5-8,10/08/07,,FLR
